Loaded 873 existing candidates (50 passing)

=== mochajs/mocha ===
  fetched 800 failed runs
    85c35eb -> 03d72c2 [fail(no_prod_file)] - 
    2168c13 -> c35a2a7 [fail(log_unavailable)] lib/adapters/http.js 
    ea96da7 -> 03d72c2 [fail(too_many_commits(15))] - 
    5b6995d -> c35a2a7 [fail(log_unavailable)] lib/adapters/http.js 
    c3af260 -> c35a2a7 [fail(log_unavailable)] lib/adapters/http.js 
    8647be1 -> f2c1a76 [fail(no_prod_file)] - 
    f4f1b36 -> d057993 [fail(diff_too_large(1108))] - 
    9f794da -> 3b88852 [fail(too_many_commits(13))] - 
    371ac91 -> 098ad32 [fail(too_many_commits(53))] - 
    a1b1d3f -> 2fcb4ec [fail(multi_prod_file)] - 
    858977b -> 5c7792d [fail(no_prod_file)] - 
    d069c5b -> e280f3b [fail(log_unavailable)] lib/adapters/http2.js 
    4726d8e -> de33e86 [fail(no_prod_file)] - 
    316579c -> a905fc4 [fail(no_prod_file)] - 
    f19afb0 -> de33e86 [fail(no_prod_file)] - 
    5fb2476 -> 5c7792d [fail(too_many_commits(9))] - 
    a00c849 -> de33e86 [fail(no_prod_file)] - 
    250ae3f -> 250ae3f [fail(same_sha_rerun)] - 
    eab2faf -> eab2faf [fail(same_sha_rerun)] - 
    1eff192 -> 1eff192 [fail(same_sha_rerun)] - 
    512fdf9 -> 41e39a9 [fail(diff_too_large(502))] - 
    09ebb2d -> 09a3ee0 [fail(no_prod_file)] - 
    55b3b8d -> 41e39a9 [fail(diff_too_large(537))] - 
    a47b5e3 -> 03d72c2 [fail(log_unavailable)] lib/adapters/http.js 
    e6e3f3e -> 3d35e54 [fail(multi_prod_file)] - 
    ce0564e -> 1eff192 [fail(no_prod_file)] - 
    713067e -> 0211273 [fail(multi_prod_file)] - 
    21da39e -> 0211273 [fail(multi_prod_file)] - 
    1504d31 -> eab2faf [fail(no_prod_file)] - 
    b128efa -> 63b5b0b [fail(no_prod_file)] - 
    4b4ba80 -> b70eed7 [fail(log_unavailable)] lib/adapters/fetch.js 
    79c2380 -> d057993 [fail(too_many_commits(28))] - 
    da58d76 -> c30b8b8 [fail(no_prod_file)] - 
    e0219c7 -> dd04bbc [fail(diff_too_large(21444))] - 
